CODIGO_REGION_ESTABLECIMIENTO,PROMEDIO_GENERAL_ANUAL,ANIO
13,5.256338898762198,2009
5,5.255497605712852,2009
10,5.22036893577116,2009
11,5.192108357240277,2009
9,5.190316478827329,2009
1,5.158792859255109,2009
12,5.33100588719377,2010
15,5.248866466294548,2010
8,5.223082785867254,2010
6,5.204375387227794,2010
2,5.204338304924242,2010
4,5.1992791634943805,2010
3,5.184265145068989,2010
13,5.1728418102914215,2010
5,5.155652503567143,2010
7,5.141072043520575,2010
14,5.141043502623401,2010
10,5.124758238391686,2010
9,5.079123328380386,2010
11,5.066496033942077,2010
1,4.967884612501312,2010
12,5.373573855363209,2011
8,5.176528451866855,2011
2,5.164901492537313,2011
7,5.1445410534073,2011
4,5.133044082647065,2011
6,5.115425519683591,2011
3,5.096990994583458,2011
5,5.057428979622528,2011
13,5.029530698076041,2011
15,5.010444301885231,2011
9,4.9926468398534825,2011
11,4.9577161055505,2011
10,4.950770627129062,2011
14,4.922944782180965,2011
1,4.87949769728561,2011
12,5.32032075038536,2012
8,5.158633288157604,2012
7,5.105558090063306,2012
6,5.100103419786112,2012
4,5.059282771143236,2012
3,5.0272778749271385,2012
5,5.021730135459325,2012
15,4.998402222268636,2012
13,4.993755604907434,2012
2,4.991660203971014,2012
14,4.952059920261151,2012
9,4.928278485942392,2012
1,4.923464576388263,2012
10,4.887279429332059,2012
11,4.809699532606277,2012
12,5.358907515033427,2013
8,5.213978500269074,2013
7,5.171136772863997,2013
6,5.151035092444059,2013
4,5.143736664358688,2013
3,5.114510094711652,2013
15,5.107669452578929,2013
2,5.086464769751061,2013
5,5.057552764882934,2013
13,5.037525298790354,2013
14,5.026740227570769,2013
10,4.976530090521399,2013
1,4.967183671029825,2013
11,4.953277678938004,2013
9,4.944414998733215,2013
12,5.409452082490901,2014
8,5.287449377601105,2014
7,5.248023476336128,2014
3,5.229410959372968,2014
4,5.196679912198358,2014
6,5.187719144306197,2014
2,5.1814222702921935,2014
15,5.161796711702976,2014
5,5.115009104873275,2014
14,5.112416043507818,2014
13,5.074931030721804,2014
10,5.038520033901277,2014
9,5.011294907978309,2014
11,5.006107044830741,2014
1,4.998932120799206,2014
12,5.333899761967733,2015
8,5.307463626730582,2015
7,5.270501332041657,2015
15,5.22297239276974,2015
6,5.199966811840604,2015
2,5.174437787399724,2015
4,5.169676337828832,2015
5,5.1282123654670135,2015
3,5.127000961068303,2015
1,5.10374715278915,2015
13,5.099149248363893,2015
14,5.088925041853432,2015
10,5.047263959095927,2015
9,5.040946008282496,2015
11,5.020485319747955,2015
12,5.410053949646996,2016
8,5.376723068018145,2016
7,5.318103225874387,2016
15,5.31460841103383,2016
3,5.296010964314901,2016
6,5.263623245977871,2016
2,5.243861070960088,2016
4,5.238656468286275,2016
14,5.173649218218899,2016
5,5.167496456086287,2016
13,5.150507394543498,2016
1,5.14022333269831,2016
10,5.134064373991211,2016
9,5.110827709667486,2016
11,5.105336478547267,2016
12,5.446793173969893,2017
8,5.40797033519298,2017
15,5.381278761531121,2017
3,5.350864305691276,2017
7,5.350222608713764,2017
2,5.291212725309411,2017
6,5.247092738896018,2017
4,5.246685811600495,2017
5,5.209512131649444,2017
14,5.207182633317603,2017
13,5.201440857678596,2017
1,5.184692611553984,2017
9,5.177287836646089,2017
10,5.160375279819041,2017
11,5.118227859250451,2017
12,5.440449251799993,2018
16,5.425120378867702,2018
8,5.424743738051885,2018
15,5.365635486577181,2018
3,5.362215282880236,2018
7,5.346843291707347,2018
2,5.297966115567196,2018
4,5.287806320604065,2018
6,5.2704044660502944,2018
5,5.219039503280649,2018
14,5.216640443745166,2018
13,5.211443354849094,2018
1,5.19232401449495,2018
10,5.188666061071903,2018
9,5.184458530940352,2018
11,5.152900051786639,2018
12,5.482845103657509,2019
8,5.475106704497469,2019
2,5.4528325766730905,2019
16,5.45245704564786,2019
15,5.439784835855216,2019
3,5.4266834278908975,2019
7,5.377767869737823,2019
4,5.35017103025522,2019
1,5.32440997517121,2019
6,5.315059871306247,2019
5,5.275315875886355,2019
13,5.250484320874335,2019
14,5.247787130416369,2019
10,5.234951890933403,2019
9,5.201946597937088,2019
11,5.133025076347369,2019
12,6.005549834889749,2020
8,5.911037671344382,2020
11,5.882115548003399,2020
7,5.862442970376133,2020
16,5.861416046475857,2020
3,5.849920459261308,2020
4,5.812368456285982,2020
15,5.805952866871468,2020
1,5.7801552389601545,2020
2,5.767463033953998,2020
9,5.762851103040815,2020
6,5.744753790222316,2020
5,5.744006158717889,2020
13,5.735981748024543,2020
14,5.731171042896827,2020
10,5.726149581074421,2020
12,5.877531612498693,2021
8,5.853933653342456,2021
16,5.843858901569679,2021
7,5.77364855328158,2021
4,5.767536138149597,2021
15,5.765301629238221,2021
3,5.757274227776469,2021
2,5.738901082139195,2021
6,5.720975509434608,2021
5,5.692212848602555,2021
14,5.667576805533216,2021
13,5.661652328770473,2021
1,5.652413726915008,2021
9,5.6471514755729695,2021
10,5.6074566652053885,2021
11,5.505916810462265,2021
12,5.677523121582394,2022
8,5.615661183039991,2022
3,5.603696740839181,2022
16,5.6020954674841255,2022
2,5.590593863384755,2022
7,5.538970633503663,2022
4,5.533111017461568,2022
6,5.497651541766884,2022
15,5.482225165039333,2022
1,5.481731970983494,2022
14,5.42296618382128,2022
5,5.422375997373642,2022
13,5.415614314702658,2022
10,5.371972173519597,2022
9,5.36173172177611,2022
11,5.341544281263907,2022
